time,price,volume
2020-04-28 11:56:00,49550,5702
2020-04-28 11:55:00,49550,50064
2020-04-28 11:54:00,49550,9311
2020-04-28 11:53:00,49550,4872
2020-04-28 11:52:00,49550,9669
2020-04-28 11:51:00,49550,6138
2020-04-28 11:50:00,49550,2675
2020-04-28 11:49:00,49550,4880
2020-04-28 11:48:00,49550,94234
2020-04-28 11:47:00,49450,3928
2020-04-28 11:46:00,49500,4448
2020-04-28 11:45:00,49450,93041
2020-04-28 11:44:00,49500,5161
2020-04-28 11:43:00,49550,8237
2020-04-28 11:42:00,49550,11091
2020-04-28 11:41:00,49550,68093
2020-04-28 11:40:00,49500,12011
2020-04-28 11:39:00,49500,68108
2020-04-28 11:38:00,49400,12044
2020-04-28 11:37:00,49400,7545
2020-04-28 11:36:00,49450,5146
2020-04-28 11:35:00,49400,11615
2020-04-28 11:34:00,49400,65605
2020-04-28 11:33:00,49350,16614
2020-04-28 11:32:00,49350,4411
2020-04-28 11:31:00,49350,4746
2020-04-28 11:30:00,49400,19399
2020-04-28 11:29:00,49350,12668
2020-04-28 11:28:00,49350,140232
2020-04-28 11:27:00,49350,4360
2020-04-28 11:26:00,49350,5351
2020-04-28 11:25:00,49400,5726
2020-04-28 11:24:00,49400,4405
2020-04-28 11:23:00,49350,7568
2020-04-28 11:22:00,49350,41955
2020-04-28 11:21:00,49350,4469
2020-04-28 11:20:00,49350,35547
2020-04-28 11:19:00,49350,6341
2020-04-28 11:18:00,49400,12388
2020-04-28 11:17:00,49350,47891
2020-04-28 11:16:00,49350,8754
2020-04-28 11:15:00,49350,28504
2020-04-28 11:14:00,49350,81710
2020-04-28 11:13:00,49350,10575
2020-04-28 11:12:00,49400,24354
2020-04-28 11:11:00,49400,13683
2020-04-28 11:10:00,49350,9239
2020-04-28 11:09:00,49350,12611
2020-04-28 11:08:00,49400,8491
2020-04-28 11:07:00,49400,23588
2020-04-28 11:06:00,49400,19267
2020-04-28 11:05:00,49400,14659
2020-04-28 11:04:00,49350,6733
2020-04-28 11:03:00,49400,6920
2020-04-28 11:02:00,49400,153003
2020-04-28 11:01:00,49300,26325
2020-04-28 11:00:00,49300,21904
2020-04-28 10:59:00,49350,26302
2020-04-28 10:58:00,49350,14566
2020-04-28 10:57:00,49350,17114
2020-04-28 10:56:00,49350,22860
2020-04-28 10:55:00,49350,79705
2020-04-28 10:54:00,49350,37230
2020-04-28 10:53:00,49400,117025
2020-04-28 10:52:00,49400,5507
2020-04-28 10:51:00,49450,100895
2020-04-28 10:50:00,49500,8213
2020-04-28 10:49:00,49500,16277
2020-04-28 10:48:00,49500,128544
2020-04-28 10:47:00,49450,11067
2020-04-28 10:46:00,49450,340938
2020-04-28 10:45:00,49550,107385
2020-04-28 10:44:00,49600,7289
2020-04-28 10:43:00,49600,6125
2020-04-28 10:42:00,49600,7470
2020-04-28 10:41:00,49550,4697
2020-04-28 10:40:00,49550,14919
2020-04-28 10:39:00,49600,90074
2020-04-28 10:38:00,49550,8360
2020-04-28 10:37:00,49550,12803
2020-04-28 10:36:00,49550,27794
2020-04-28 10:35:00,49550,49290
2020-04-28 10:34:00,49600,136403
2020-04-28 10:33:00,49550,11313
2020-04-28 10:32:00,49550,31423
2020-04-28 10:31:00,49600,38972
2020-04-28 10:30:00,49550,150321
2020-04-28 10:29:00,49600,13087
2020-04-28 10:28:00,49600,62707
2020-04-28 10:27:00,49600,7464
2020-04-28 10:26:00,49650,25315
2020-04-28 10:25:00,49650,6145
2020-04-28 10:24:00,49650,82155
2020-04-28 10:23:00,49600,11533
2020-04-28 10:22:00,49600,43225
2020-04-28 10:21:00,49550,106959
2020-04-28 10:20:00,49600,92824
2020-04-28 10:19:00,49650,4996
2020-04-28 10:18:00,49600,48132
2020-04-28 10:17:00,49650,20883
2020-04-28 10:16:00,49600,113946
2020-04-28 10:15:00,49600,55646
2020-04-28 10:14:00,49650,185569
2020-04-28 10:13:00,49600,137130
2020-04-28 10:12:00,49700,85663
2020-04-28 10:11:00,49800,22981
2020-04-28 10:10:00,49750,28141
2020-04-28 10:09:00,49850,67021
2020-04-28 10:08:00,49800,45066
2020-04-28 10:07:00,49750,29968
2020-04-28 10:06:00,49750,87263
2020-04-28 10:05:00,49850,6477
2020-04-28 10:04:00,49850,28191
2020-04-28 10:03:00,49850,47474
2020-04-28 10:02:00,49800,75953
2020-04-28 10:01:00,49900,3773
2020-04-28 10:00:00,49900,19143
2020-04-28 09:59:00,49900,40063
